[IMATEC] ¿Una potencia física de 0 dBm equivale exactamente a 1 mW?	<b>Verdadero (V)</b><br><br><i>Verdadero. 10 * log10(1 mW / 1 mW) = 0 dBm.</i>
[CCE] ¿La ley de corrientes de Kirchhoff (KCL) se fundamenta en la conservación de la carga eléctrica?	<b>Verdadero (V)</b><br><br><i>Verdadero. En régimen cuasiestacionario la carga neta en cualquier nodo cerrado permanece constante.</i>
[CCE] ¿La ley de tensiones de Kirchhoff (KVL) se fundamenta en el carácter conservativo del campo electrostático?	<b>Verdadero (V)</b><br><br><i>Verdadero. La integral de línea del campo eléctrico sobre un lazo cerrado es nula.</i>
[CCE] En un transistor BJT en zona activa directa, la corriente de colector Ic depende fuertemente de Vce.	<b>Falso (F)</b><br><br><i>Falso. Ic = beta * Ib y es casi independiente de Vce (salvo por el efecto Early secundario).</i>
[CCE] ¿La resistencia dinámica de pequeña señal de un diodo polarizado con ID0 es rd = VT / ID0?	<b>Verdadero (V)</b><br><br><i>Verdadero. Derivando la ecuación de Shockley dVD/dID = VT / ID0.</i>
[CCE] ¿Un amplificador operacional ideal con realimentación negativa mantiene un cortocircuito virtual entre sus entradas?	<b>Verdadero (V)</b><br><br><i>Verdadero. Como Aol -> infinito, (V+ - V-) = Vo / Aol = 0.</i>
[CCE] La resistencia equivalente de dos resistencias idénticas R en paralelo es 2R.	<b>Falso (F)</b><br><br><i>Falso. R_eq = (R * R) / (R + R) = R / 2.</i>
[CCE] ¿El nudo de referencia o masa se define arbitrariamente con potencial de 0 voltios?	<b>Verdadero (V)</b><br><br><i>Verdadero. Sirve de origen de potenciales para todo el circuito.</i>
[APR] ¿La búsqueda binaria sobre un array ordenado de N elementos tiene complejidad O(log N)?	<b>Verdadero (V)</b><br><br><i>Verdadero. En cada iteración el espacio de búsqueda se reduce a la mitad.</i>
[APR] ¿El operador '&' en C obtiene la dirección de memoria de una variable?	<b>Verdadero (V)</b><br><br><i>Verdadero. Es el operador address-of.</i>
[APR] El algoritmo de ordenación Bubble Sort tiene complejidad en el mejor caso O(1).	<b>Falso (F)</b><br><br><i>Falso. Con optimización requiere O(N) para verificar que ya está ordenado.</i>
[APR] ¿El paso de parámetros por valor en C crea una copia local que no modifica la variable llamante?	<b>Verdadero (V)</b><br><br><i>Verdadero. Para modificar la variable externa debe pasarse un puntero a su dirección.</i>
[APR] Si un puntero a int (4 bytes) apunta a 0x2000, p + 2 apunta a la dirección 0x2002.	<b>Falso (F)</b><br><br><i>Falso. La aritmética de punteros escala por el tamaño del tipo: 0x2000 + 2*4 = 0x2008.</i>
[APR] ¿La función 'malloc()' reserva memoria contigua en el segmento Heap?	<b>Verdadero (V)</b><br><br><i>Verdadero. El montículo (heap) gestiona memoria dinámica hasta la invocación de free().</i>
[APR] ¿Una función recursiva sin caso base provoca un desbordamiento de pila (stack overflow)?	<b>Verdadero (V)</b><br><br><i>Verdadero. Se acumulan marcos de activación hasta agotar el espacio del stack.</i>
[APR] En el estándar C, el tipo 'char' tiene un tamaño estrictamente dependiente de la arquitectura que puede ser 4 bytes.	<b>Falso (F)</b><br><br><i>Falso. sizeof(char) es siempre 1 byte por definición del estándar.</i>
[APR] ¿Las cadenas de texto en C deben finalizar obligatoriamente con el carácter nulo '\0'?	<b>Verdadero (V)</b><br><br><i>Verdadero. Sirve como centinela de fin de cadena para todas las funciones estándar de <string.h>.</i>
[APR] ¿Un algoritmo con complejidad O(N log N) es asintóticamente más rápido que uno O(N^2) para N grande?	<b>Verdadero (V)</b><br><br><i>Verdadero. La tasa de crecimiento de N log N es muy inferior a la cuadrática.</i>
[APR] El operador 'sizeof' en C se evalúa exclusivamente durante el tiempo de ejecución (runtime).	<b>Falso (F)</b><br><br><i>Falso. Es un operador evaluado en tiempo de compilación (salvo para VLA en C99).</i>
[APR] ¿El bucle 'do-while' garantiza que su cuerpo de instrucciones se ejecute al menos una vez?	<b>Verdadero (V)</b><br><br><i>Verdadero. La condición booleana se evalúa al final de la iteración.</i>
[F] ¿En un oscilador armónico simple, la aceleración es directamente proporcional a la posición pero de sentido contrario?	<b>Verdadero (V)</b><br><br><i>Verdadero. a(t) = -w0^2 * x(t).</i>
[F] ¿La velocidad de propagación de una onda mecánica transversal aumenta al incrementar la tensión del medio?	<b>Verdadero (V)</b><br><br><i>Verdadero. v = sqrt(T / mu).</i>
[F] La energía cinética de una partícula se duplica cuando su velocidad se duplica.	<b>Falso (F)</b><br><br><i>Falso. La energía cinética es proporcional al cuadrado de la velocidad (Ec = 0.5 * m * v^2), por lo que se cuadruplica.</i>
[F] ¿El campo electrostático en el interior de un conductor en equilibrio electrostático es nulo?	<b>Verdadero (V)</b><br><br><i>Verdadero. Las cargas libres superficiales se reorganizan cancelando cualquier campo interno.</i>
[F] La capacidad de un condensador plano depende del voltaje aplicado a sus placas.	<b>Falso (F)</b><br><br><i>Falso. C = eps * A / d; la capacidad depende de la geometría y del material dieléctrico, no de la tensión.</i>
[F] ¿El primer principio de la termodinámica establece la conservación de la energía en la forma dU = dQ - dW?	<b>Verdadero (V)</b><br><br><i>Verdadero. La variación de energía interna es igual al calor neto recibido menos el trabajo realizado.</i>
[F] ¿En un choque perfectamente elástico se conservan simultáneamente el momento lineal y la energía cinética?	<b>Verdadero (V)</b><br><br><i>Verdadero. Por definición no hay disipación de energía mecánica en calor o deformación permanente.</i>
[F] ¿El efecto Doppler describe el cambio en la frecuencia observada debido al movimiento relativo entre la fuente y el receptor?	<b>Verdadero (V)</b><br><br><i>Verdadero. La frecuencia aparente aumenta al acercarse y disminuye al alejarse.</i>
[F] Un proceso termodinámico adiabático es aquel que ocurre a temperatura rigurosamente constante.	<b>Falso (F)</b><br><br><i>Falso. Ese es un proceso isotérmico; en un proceso adiabático no hay transferencia de calor con el exterior (dQ = 0).</i>
[F] ¿La ley de Gauss permite calcular el campo electrostático en distribuciones continuas con alta simetría?	<b>Verdadero (V)</b><br><br><i>Verdadero. Utilizando superficies gaussianas donde el módulo del campo es constante.</i>
[F] ¿La frecuencia de resonancia mecánica coincide con la pulsación propia del oscilador libre no amortiguado?	<b>Verdadero (V)</b><br><br><i>Verdadero. Produce máxima transferencia de energía y máxima amplitud de respuesta.</i>
[F] La fuerza electrostática de Coulomb entre dos cargas puntuales decrece linealmente con la distancia.	<b>Falso (F)</b><br><br><i>Falso. Decrece con el cuadrado de la distancia (1 / r^2).</i>
[C] ¿El polinomio de Taylor de primer orden de sin(x) alrededor de x=0 es simplemente x?	<b>Verdadero (V)</b><br><br><i>Verdadero. f(0)=0, f'(0)=1 -> P1(x) = x.</i>
[C] ¿Toda función derivable en un punto x0 es necesariamente continua en dicho punto?	<b>Verdadero (V)</b><br><br><i>Verdadero. La derivabilidad es una condición más fuerte que implica continuidad.</i>
[C] La serie armónica sum(1/n) converge a un número real finito.	<b>Falso (F)</b><br><br><i>Falso. La serie armónica diverge logarítmicamente hacia infinito.</i>
[C] ¿La derivada de e^(-x^2) respecto a x es igual a -2x * e^(-x^2)?	<b>Verdadero (V)</b><br><br><i>Verdadero. Por aplicación directa de la regla de la cadena.</i>
[C] La integral definida de una función impar sobre un intervalo simétrico [-a, a] es siempre cero.	<b>Verdadero (V)</b><br><br><i>Verdadero. Las áreas bajo la curva en la mitad positiva y negativa se cancelan con signos opuestos.</i>
[C] ¿La fórmula de Euler establece que e^(j*pi) + 1 = 0?	<b>Verdadero (V)</b><br><br><i>Verdadero. Con theta = pi, cos(pi) = -1 y sin(pi) = 0.</i>
[C] La regla de L'Hôpital puede aplicarse a cualquier límite independientemente de si hay indeterminación.	<b>Falso (F)</b><br><br><i>Falso. Solo es válida ante formas indeterminadas 0/0 o inf/inf.</i>
[C] ¿El límite de (sin x)/x cuando x tiende a 0 es estrictamente 1?	<b>Verdadero (V)</b><br><br><i>Verdadero. Es el límite trigonométrico fundamental.</i>
[C] ¿El radio de convergencia de la serie de Taylor de e^x centrada en 0 es infinito?	<b>Verdadero (V)</b><br><br><i>Verdadero. El criterio del cociente da límite 0 para todo x, por lo que converge en todo R.</i>
[C] La integral impropia de 1/x entre 1 e infinito converge a 1.	<b>Falso (F)</b><br><br><i>Falso. La primitiva es ln(x), y ln(inf) diverge hacia infinito.</i>
[C] ¿El Teorema del Valor Medio garantiza que existe un punto donde la derivada instantánea coincide con la tasa media de variación?	<b>Verdadero (V)</b><br><br><i>Verdadero. f'(c) = (f(b) - f(a)) / (b - a).</i>
[C] ¿El módulo de cualquier número complejo de la forma e^(j*theta) con theta real es siempre 1?	<b>Verdadero (V)</b><br><br><i>Verdadero. |cos(theta) + j*sin(theta)| = sqrt(cos^2 + sin^2) = 1.</i>
[ALN] ¿Una matriz cuadrada es invertible si y solo si su determinante es no nulo?	<b>Verdadero (V)</b><br><br><i>Verdadero. det(A) != 0 equivale a tener rango completo y núcleo trivial.</i>
[ALN] ¿El producto de los autovalores de una matriz es igual a su determinante?	<b>Verdadero (V)</b><br><br><i>Verdadero. det(A) = prod(lambda_i).</i>
[ALN] ¿La suma de los autovalores de una matriz coincide con la traza de la matriz?	<b>Verdadero (V)</b><br><br><i>Verdadero. tr(A) = sum(a_ii) = sum(lambda_i).</i>
[ALN] ¿Un conjunto de vectores ortogonales no nulos es siempre linealmente independiente?	<b>Verdadero (V)</b><br><br><i>Verdadero. El producto escalar mutuo nulo impide cualquier combinación lineal no trivial igual a cero.</i>
[ALN] El determinante de la suma de matrices siempre cumple det(A + B) = det(A) + det(B).	<b>Falso (F)</b><br><br><i>Falso. El determinante es una función multilineal, no aditiva con la suma de matrices.</i>
[ALN] ¿La transpuesta del producto matricial satisface (A * B)^T = B^T * A^T?	<b>Verdadero (V)</b><br><br><i>Verdadero. El orden de los factores se invierte al transponer.</i>
[ALN] ¿Toda matriz simétrica real tiene autovalores reales y es diagonalizable ortogonalmente?	<b>Verdadero (V)</b><br><br><i>Verdadero. Por el Teorema Espectral para operadores autoadjuntos.</i>
[ALN] ¿El proceso de Gram-Schmidt permite construir una base ortonormal a partir de una base dada?	<b>Verdadero (V)</b><br><br><i>Verdadero. Restando las componentes proyectadas sucesivas.</i>
[ALN] Un sistema de 3 ecuaciones lineales con 4 incógnitas puede ser compatible determinado.	<b>Falso (F)</b><br><br><i>Falso. Tendrá al menos un grado de libertad (o será incompatible), nunca determinado único.</i>
[ALN] ¿El rango de una matriz es el número máximo de filas linealmente independientes?	<b>Verdadero (V)</b><br><br><i>Verdadero. Coincide con la dimensión del espacio imagen.</i>
[ALN] ¿Para cualquier matriz cuadrada A, la matriz A + A^T es siempre simétrica?	<b>Verdadero (V)</b><br><br><i>Verdadero. (A + A^T)^T = A^T + (A^T)^T = A^T + A = A + A^T.</i>
[ALN] ¿El núcleo (Ker) de una aplicación lineal entre espacios vectoriales es un subespacio vectorial?	<b>Verdadero (V)</b><br><br><i>Verdadero. Contiene al vector cero y es cerrado bajo sumas y combinaciones lineales.</i>
[AC] ¿En un circuito RC serie, el condensador alcanza el 63.2% de su tensión final en t = tau = R*C?	<b>Verdadero (V)</b><br><br><i>Verdadero. 1 - e^(-1) = 0.6321.</i>
[AC] ¿En resonancia serie RLC la impedancia total del circuito es mínima e igual a R?	<b>Verdadero (V)</b><br><br><i>Verdadero. Las reactancias inductiva jwL y capacitiva 1/(jwC) se cancelan.</i>
[AC] La potencia reactiva consumida por un condensador ideal es positiva.	<b>Falso (F)</b><br><br><i>Falso. Los condensadores suministran potencia reactiva, por convenio Q < 0.</i>
[AC] ¿El factor de potencia de una carga inductiva pura es 0 inductivo con desfase de corriente retrasada 90 grados?	<b>Verdadero (V)</b><br><br><i>Verdadero. cos(90) = 0.</i>
[AC] ¿Un circuito RLC serie con coeficiente de amortiguamiento zeta < 1 presenta una respuesta transitoria subamortiguada y oscilatoria?	<b>Verdadero (V)</b><br><br><i>Verdadero. Los polos son complejos conjugados con parte real negativa.</i>
[AC] ¿En un sistema trifásico equilibrado en estrella, la tensión entre líneas es sqrt(3) veces la tensión simple de fase?	<b>Verdadero (V)</b><br><br><i>Verdadero. V_linea = sqrt(3) * V_fase con 30 grados de adelanto.</i>
[AC] El teorema de Tellegen solo es aplicable a circuitos resistivos lineales en continua.	<b>Falso (F)</b><br><br><i>Falso. Es válido para cualquier circuito con cualquier tipo de componente lineal o no lineal.</i>
[AC] ¿La reactancia de una bobina ideal crece linealmente con la frecuencia angular omega?	<b>Verdadero (V)</b><br><br><i>Verdadero. X_L = omega * L.</i>
[AC] ¿La reactancia de un condensador tiende a cero cuando la frecuencia tiende a infinito (comportamiento de cortocircuito en alta frecuencia)?	<b>Verdadero (V)</b><br><br><i>Verdadero. X_C = 1 / (omega * C) -> 0.</i>
[AC] Un transformador ideal elevador con relación de espiras 1:2 duplica la corriente en el devanado secundario.	<b>Falso (F)</b><br><br><i>Falso. Duplica la tensión pero reduce la corriente a la mitad para conservar la potencia.</i>
[AC] ¿La unidad de medida de la potencia aparente S es el voltiamperio (VA)?	<b>Verdadero (V)</b><br><br><i>Verdadero. Distingue S (VA) de P (W) y Q (var).</i>
[AC] ¿El factor de calidad Q de un circuito resonante serie es inversamente proporcional a la resistencia de pérdidas R?	<b>Verdadero (V)</b><br><br><i>Verdadero. Q = (w0 * L) / R; a menor disipación resistiva, mayor agudeza en la resonancia.</i>
[PRD] ¿El acceso a un elemento de un array por su índice tiene complejidad temporal O(1)?	<b>Verdadero (V)</b><br><br><i>Verdadero. Se calcula la dirección aritmética en tiempo constante.</i>
[PRD] ¿Insertar un elemento al frente de una lista simplemente enlazada tiene coste O(1)?	<b>Verdadero (V)</b><br><br><i>Verdadero. Solo requiere actualizar el puntero de la nueva cabeza.</i>
[PRD] En un árbol binario de búsqueda perfectamente equilibrado, la búsqueda de una clave tiene coste O(N).	<b>Falso (F)</b><br><br><i>Falso. La altura es log2(N), por lo que el coste es O(log N).</i>
[PRD] ¿La estructura de datos Pila (Stack) sigue el principio LIFO (Last In, First Out)?	<b>Verdadero (V)</b><br><br><i>Verdadero. El último elemento apilado es el primero en desapilarse.</i>
[PRD] ¿La estructura de datos Cola (Queue) sigue el principio FIFO (First In, First Out)?	<b>Verdadero (V)</b><br><br><i>Verdadero. El primer elemento encolado es el primero en desencolarse.</i>
[PRD] ¿El factor de carga alfa de una tabla hash se define como el número de elementos dividido entre el número de casillas?	<b>Verdadero (V)</b><br><br><i>Verdadero. alpha = N / M.</i>
[PRD] El recorrido en anchura (BFS) de un grafo se implementa habitualmente mediante una estructura de Pila.	<b>Falso (F)</b><br><br><i>Falso. BFS utiliza una Cola (Queue); la Pila (Stack) se usa para recorrido en profundidad (DFS).</i>
[PRD] ¿El algoritmo de Dijkstra permite encontrar el camino más corto desde un origen en grafos con pesos no negativos?	<b>Verdadero (V)</b><br><br><i>Verdadero. Asume que la adición de aristas siempre incrementa la distancia acumulada.</i>
[PRD] ¿En un Min-Heap binario, la raíz contiene siempre el elemento de valor mínimo de todo el conjunto?	<b>Verdadero (V)</b><br><br><i>Verdadero. Es la propiedad estructural fundamental del min-heap.</i>
[PRD] El borrado de un nodo cualquiera en un array dinámico (vector) siempre se realiza en tiempo O(1).	<b>Falso (F)</b><br><br><i>Falso. En el peor caso (borrar al inicio) requiere desplazar N-1 elementos en O(N).</i>
[PRD] ¿Los árboles AVL son árboles de búsqueda autobalanceados cuya diferencia de alturas entre subárboles no excede 1?	<b>Verdadero (V)</b><br><br><i>Verdadero. Garantiza altura O(log N) mediante rotaciones simples y dobles.</i>
[PRD] ¿La resolución de colisiones mediante encadenamiento abierto (chaining) almacena los elementos en listas ligadas por casilla?	<b>Verdadero (V)</b><br><br><i>Verdadero. Permite alojar múltiples claves con el mismo valor hash.</i>
[EMG] ¿La ley de Gauss para el campo magnético (div B = 0) implica la no existencia de monopolos magnéticos aislados?	<b>Verdadero (V)</b><br><br><i>Verdadero. Las líneas de campo B son siempre cerradas.</i>
[EMG] ¿La corriente de desplazamiento de Maxwell (dD/dt) permite la propagación de ondas EM a través del vacío?	<b>Verdadero (V)</b><br><br><i>Verdadero. Garantiza la continuidad de la corriente en condensadores y origina el campo magnético variable en ondas EM.</i>
[EMG] ¿El vector de Poynting S = E x H representa la densidad superficial de flujo de potencia electromagnética en W/m^2?	<b>Verdadero (V)</b><br><br><i>Verdadero. Dirección y sentido de la propagación energética.</i>
[EMG] La velocidad de una onda electromagnética en un medio con eps_r = 4 es el doble de la velocidad en el vacío.	<b>Falso (F)</b><br><br><i>Falso. vp = c / sqrt(eps_r) = c / 2 (la velocidad se reduce a la mitad).</i>
[EMG] ¿La impedancia de onda intrínseca del vacío es de aproximadamente 377 ohms (120*pi)?	<b>Verdadero (V)</b><br><br><i>Verdadero. eta0 = sqrt(mu0 / eps0) approx 376.73 ohms.</i>
[EMG] ¿El efecto pelicular (skin effect) provoca que las corrientes de alta frecuencia circulen confinadas cerca de la superficie del conductor?	<b>Verdadero (V)</b><br><br><i>Verdadero. La densidad de corriente decae exponencialmente con la profundidad delta.</i>
[EMG] La ley de Faraday establece que una fem inducida se opone siempre a la variación del flujo magnético que la produce.	<b>Verdadero (V)</b><br><br><i>Verdadero. Expresado por el signo negativo de la ley de Lenz: fem = -dPhi/dt.</i>
[EMG] En una onda EM plana TEM en el vacío, los campos E y H son paralelos entre sí y a la dirección de propagación.	<b>Falso (F)</b><br><br><i>Falso. Son perpendiculares entre sí y perpendiculares a la dirección de propagación.</i>
[EMG] ¿La profundidad de penetración delta disminuye a medida que aumenta la frecuencia de la señal?	<b>Verdadero (V)</b><br><br><i>Verdadero. delta es inversamente proporcional a sqrt(f).</i>
[EMG] ¿La fuerza de Lorentz total sobre una carga q es F = q * (E + v x B)?	<b>Verdadero (V)</b><br><br><i>Verdadero. Combina la fuerza electrostática y magnética.</i>
[EMG] Un dieléctrico perfecto sin pérdidas disipa energía electromagnética en forma de calor.	<b>Falso (F)</b><br><br><i>Falso. En un dieléctrico perfecto la conductividad sigma = 0 y la permitividad es puramente real, sin pérdidas disipativas.</i>
[EMG] ¿El campo electrostático satisface rot(E) = 0, lo que permite definir un potencial escalar V tal que E = -grad(V)?	<b>Verdadero (V)</b><br><br><i>Verdadero. Condición de campo conservativo.</i>
[CVEC] ¿El vector gradiente grad(f) de un campo escalar apunta siempre en la dirección de máximo crecimiento de la función?	<b>Verdadero (V)</b><br><br><i>Verdadero. La derivada direccional máxima se produce en la dirección del gradiente.</i>
[CVEC] ¿El rotacional del gradiente de cualquier campo escalar dos veces diferenciable es idénticamente nulo: rot(grad(f)) = 0?	<b>Verdadero (V)</b><br><br><i>Verdadero. Identidad vectorial fundamental de campos conservativos.</i>
[CVEC] ¿La divergencia del rotacional de cualquier campo vectorial dos veces diferenciable es idénticamente nula: div(rot(F)) = 0?	<b>Verdadero (V)</b><br><br><i>Verdadero. Un campo solenoidal tiene divergencia nula.</i>
[CVEC] El Teorema de Stokes relaciona la integral de flujo del rotacional sobre una superficie con la integral de línea a lo largo de su borde cerrado.	<b>Verdadero (V)</b><br><br><i>Verdadero. iint_S (rot F)*dS = oint_C F*dr.</i>
[CVEC] Si la matriz Hessiana en un punto crítico tiene determinante negativo, el punto es un máximo local.	<b>Falso (F)</b><br><br><i>Falso. Si det(H) < 0, los autovalores tienen signos opuestos y se trata de un punto de silla.</i>
[CVEC] ¿El Teorema de Green es el caso particular bidimensional en el plano del Teorema de Stokes?	<b>Verdadero (V)</b><br><br><i>Verdadero. Al restringir el vector rotacional a la componente perpendicular al plano z.</i>
[CVEC] ¿El jacobiano de la transformación a coordenadas polares es r?	<b>Verdadero (V)</b><br><br><i>Verdadero. dx dy = r dr dtheta.</i>
[CVEC] ¿Un campo vectorial F es conservativo si y solo si la integral de línea de F entre dos puntos es independiente del camino?	<b>Verdadero (V)</b><br><br><i>Verdadero. Equivale a que la integral sobre cualquier curva cerrada sea cero.</i>
[CVEC] La divergencia de un campo solenoidal es estrictamente positiva.	<b>Falso (F)</b><br><br><i>Falso. Por definición un campo solenoidal tiene divergencia exactamente cero (div F = 0).</i>
[CVEC] ¿El laplaciano de una función escalar es la divergencia de su gradiente?	<b>Verdadero (V)</b><br><br><i>Verdadero. lapl(f) = div(grad(f)).</i>
[CVEC] ¿El Teorema de Gauss-Divergencia transforma una integral de volumen de div(F) en el flujo de F a través de la superficie cerrada que lo encierra?	<b>Verdadero (V)</b><br><br><i>Verdadero. iiint_V div(F) dV = iint_S F*n dS.</i>
[CVEC] En coordenadas esféricas, el elemento de volumen diferencial es simplemente dr dtheta dphi.	<b>Falso (F)</b><br><br><i>Falso. Es dV = r^2 * sin(theta) dr dtheta dphi.</i>
[EDT] ¿La transformada de Laplace de la delta de Dirac delta(t) es 1 para todo s?	<b>Verdadero (V)</b><br><br><i>Verdadero. integral(delta(t) * e^(-st) dt) de 0- a inf = 1.</i>
[EDT] ¿La transformada de Laplace del escalón unitario u(t) es 1/s con región de convergencia Re(s) > 0?	<b>Verdadero (V)</b><br><br><i>Verdadero. integral(e^(-st) dt) = [-e^(-st)/s] = 1/s.</i>
[EDT] La convolución en el dominio del tiempo equivale a la adición directa en el dominio transformado de Laplace.	<b>Falso (F)</b><br><br><i>Falso. Equivale a la multiplicación algebraica F(s) * G(s).</i>
[EDT] ¿El Teorema del Valor Final requiere que todos los polos de s*F(s) se encuentren en el semiplano complejo izquierdo estricto?	<b>Verdadero (V)</b><br><br><i>Verdadero. De lo contrario f(t) no converge a un límite finito cuando t tiende a infinito.</i>
[EDT] Una ecuación diferencial lineal homogénea de segundo orden con coeficientes constantes con raíces complejas conjugadas tiene una respuesta aperiódica sin oscilación.	<b>Falso (F)</b><br><br><i>Falso. Produce términos sinusoidales amortiguados con oscilación propia e^(sigma*t)*cos(wd*t).</i>
[EDT] ¿La transformada de Laplace de e^(a*t) es 1 / (s - a) para Re(s) > a?	<b>Verdadero (V)</b><br><br><i>Verdadero. Por definición de integral transformadora.</i>
[EDT] ¿La serie de Fourier de una función par periódica solo contiene términos cosenoidales (bn = 0)?	<b>Verdadero (V)</b><br><br><i>Verdadero. La simetría par anula todas las integrales de funciones senoidales impares.</i>
[EDT] ¿El teorema de traslación temporal establece que L{f(t - T)*u(t - T)} = e^(-s*T) * F(s)?	<b>Verdadero (V)</b><br><br><i>Verdadero. El retraso temporal se mapea en una exponencial compleja en s.</i>
[EDT] El factor integrante mu(x) = exp(integral(P(x) dx)) permite resolver cualquier EDO lineal de primer orden y' + P(x)y = Q(x).	<b>Verdadero (V)</b><br><br><i>Verdadero. Convierte el miembro izquierdo en la derivada del producto d/dx [mu(x)*y].</i>
[EDT] La transformada inversa de Laplace siempre genera funciones continuas sin singularidades.	<b>Falso (F)</b><br><br><i>Falso. Puede generar impulsos de Dirac, discontinuidades escalón y derivadas distribucionales.</i>
[EDT] ¿El Teorema del Valor Inicial establece que f(0+) = lim_{s -> inf} s * F(s)?	<b>Verdadero (V)</b><br><br><i>Verdadero. Propiedad asintótica de alta frecuencia.</i>
[EDT] ¿La solución general de una EDO lineal no homogénea es la suma de la solución de la homogénea más una solución particular?	<b>Verdadero (V)</b><br><br><i>Verdadero. Principio de superposición lineal.</i>
[DE] ¿En un semiconductor intrínseco, la concentración de electrones en la banda de conducción es igual a la de huecos en la de valencia (n = p = ni)?	<b>Verdadero (V)</b><br><br><i>Verdadero. Cada salto térmico a conducción crea simultáneamente un hueco en valencia.</i>
[DE] ¿La relación de Einstein vincula el coeficiente de difusión y la movilidad de portadores con la tensión térmica VT = kT/q?	<b>Verdadero (V)</b><br><br><i>Verdadero. D / mu = VT.</i>
[DE] ¿Al polarizar una unión p-n en inversa, la anchura de la zona de carga espacial (ZCE) aumenta?	<b>Verdadero (V)</b><br><br><i>Verdadero. La tensión inversa externa se suma al potencial de contacto interno ampliando la barrera.</i>
[DE] En un transistor MOSFET de canal n en saturación, la corriente de drenador es inversamente proporcional a (Vgs - Vth).	<b>Falso (F)</b><br><br><i>Falso. Es cuadrática: Id propto (Vgs - Vth)^2.</i>
[DE] ¿El fenómeno de estricción o estrangulamiento de canal ('pinch-off') se alcanza cuando Vds >= Vgs - Vth?	<b>Verdadero (V)</b><br><br><i>Verdadero. El canal se estrangula cerca del drenador entrando en régimen de saturación.</i>
[DE] ¿El dopaje con átomos del grupo V (como fósforo o arsénico) convierte al silicio en un semiconductor tipo n?	<b>Verdadero (V)</b><br><br><i>Verdadero. Aportan electrones libres en niveles donores.</i>
